"class","注音_class","去聲調_class"
"Web程式設計","Webㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","Webㄔㄥㄕㄕㄜㄐㄧ"
"資訊管理專題講座","ㄗㄒㄩㄣˋㄍㄨㄢˇㄌㄧˇㄓㄨㄢㄊㄧˊㄐㄧㄤˇㄗㄨㄛˋ","ㄗㄒㄩㄣㄍㄨㄢㄌㄧㄓㄨㄢㄊㄧㄐㄧㄤㄗㄨㄛ"
"碩士論文","ㄕㄨㄛˋㄕˋㄌㄨㄣˋㄨㄣˊ","ㄕㄨㄛㄕㄌㄨㄣㄨㄣ"
"企業資源規劃","ㄑㄧˋㄧㄝˋㄗㄩㄢˊㄍㄨㄟㄏㄨㄚˋ","ㄑㄧㄧㄝㄗㄩㄢㄍㄨㄟㄏㄨㄚ"
"專題研究（一）","ㄓㄨㄢㄊㄧˊㄧㄢˊㄐㄧㄡˋㄧ","ㄓㄨㄢㄊㄧㄧㄢㄐㄧㄡㄧ"
"管理資訊系統","ㄍㄨㄢˇㄌㄧˇㄗㄒㄩㄣˋㄒㄧˋㄊㄨㄥˇ","ㄍㄨㄢㄌㄧㄗㄒㄩㄣㄒㄧㄊㄨㄥ"
"專題講座","ㄓㄨㄢㄊㄧˊㄐㄧㄤˇㄗㄨㄛˋ","ㄓㄨㄢㄊㄧㄐㄧㄤㄗㄨㄛ"
"體育（壹）","ㄊㄧˇㄩˋㄧ","ㄊㄧㄩㄧ"
"應用英文（一）","ㄧㄥˋㄩㄥˋㄧㄥㄨㄣˊㄧ","ㄧㄥㄩㄥㄧㄥㄨㄣㄧ"
"管理學","ㄍㄨㄢˇㄌㄧˇㄒㄩㄝˊ","ㄍㄨㄢㄌㄧㄒㄩㄝ"
"計算機概論","ㄐㄧˋㄙㄨㄢˋㄐㄧㄍㄞˋㄌㄨㄣˋ","ㄐㄧㄙㄨㄢㄐㄧㄍㄞㄌㄨㄣ"
"程式設計（一）","ㄔㄥˊㄕˋㄕㄜˋㄐㄧˋㄧ","ㄔㄥㄕㄕㄜㄐㄧㄧ"
"微積分（一）","ㄨㄟˊㄐㄧㄈㄣㄧ","ㄨㄟㄐㄧㄈㄣㄧ"
"資訊管理研究法","ㄗㄒㄩㄣˋㄍㄨㄢˇㄌㄧˇㄧㄢˊㄐㄧㄡˋㄈㄚˇ","ㄗㄒㄩㄣㄍㄨㄢㄌㄧㄧㄢㄐㄧㄡㄈㄚ"
"資料庫管理專題","ㄗㄌㄧㄠˋㄎㄨˋㄍㄨㄢˇㄌㄧˇㄓㄨㄢㄊㄧˊ","ㄗㄌㄧㄠㄎㄨㄍㄨㄢㄌㄧㄓㄨㄢㄊㄧ"
"應用英文（三）","ㄧㄥˋㄩㄥˋㄧㄥㄨㄣˊㄙㄢ","ㄧㄥㄩㄥㄧㄥㄨㄣㄙㄢ"
"統計學（一）","ㄊㄨㄥˇㄐㄧˋㄒㄩㄝˊㄧ","ㄊㄨㄥㄐㄧㄒㄩㄝㄧ"
"資料結構","ㄗㄌㄧㄠˋㄐㄧㄝˊㄍㄡˋ","ㄗㄌㄧㄠㄐㄧㄝㄍㄡ"
"APP應用系統程式設計","APPㄧㄥˋㄩㄥˋㄒㄧˋㄊㄨㄥˇㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","APPㄧㄥㄩㄥㄒㄧㄊㄨㄥㄔㄥㄕㄕㄜㄐㄧ"
"資料庫管理","ㄗㄌㄧㄠˋㄎㄨˋㄍㄨㄢˇㄌㄧˇ","ㄗㄌㄧㄠㄎㄨㄍㄨㄢㄌㄧ"
"系統分析與設計","ㄒㄧˋㄊㄨㄥˇㄈㄣㄒㄧㄩˇㄕㄜˋㄐㄧˋ","ㄒㄧㄊㄨㄥㄈㄣㄒㄧㄩㄕㄜㄐㄧ"
"生產與作業管理","ㄕㄥㄔㄢˇㄩˇㄗㄨㄛˋㄧㄝˋㄍㄨㄢˇㄌㄧˇ","ㄕㄥㄔㄢㄩㄗㄨㄛㄧㄝㄍㄨㄢㄌㄧ"
"專題研究（二）","ㄓㄨㄢㄊㄧˊㄧㄢˊㄐㄧㄡˋㄦˋ","ㄓㄨㄢㄊㄧㄧㄢㄐㄧㄡㄦ"
"資訊應用","ㄗㄒㄩㄣˋㄧㄥˋㄩㄥˋ","ㄗㄒㄩㄣㄧㄥㄩㄥ"
"線性代數","ㄒㄧㄢˋㄒㄧㄥˋㄉㄞˋㄕㄨˋ","ㄒㄧㄢㄒㄧㄥㄉㄞㄕㄨ"
"電磁學（二）","ㄉㄧㄢˋㄘˊㄒㄩㄝˊㄦˋ","ㄉㄧㄢㄘㄒㄩㄝㄦ"
"工程應用軟體","ㄍㄨㄥㄔㄥˊㄧㄥˋㄩㄥˋㄖㄨㄢˇㄊㄧˇ","ㄍㄨㄥㄔㄥㄧㄥㄩㄥㄖㄨㄢㄊㄧ"
"向量分析","ㄒㄧㄤˋㄌㄧㄤˋㄈㄣㄒㄧ","ㄒㄧㄤㄌㄧㄤㄈㄣㄒㄧ"
"控制系統","ㄎㄨㄥˋㄓˋㄒㄧˋㄊㄨㄥˇ","ㄎㄨㄥㄓㄒㄧㄊㄨㄥ"
"通訊系統","ㄊㄨㄥㄒㄩㄣˋㄒㄧˋㄊㄨㄥˇ","ㄊㄨㄥㄒㄩㄣㄒㄧㄊㄨㄥ"
"物聯網系統","ㄨˋㄌㄧㄢˊㄨㄤˇㄒㄧˋㄊㄨㄥˇ","ㄨㄌㄧㄢㄨㄤㄒㄧㄊㄨㄥ"
"半導體量測","ㄅㄢˋㄉㄠˇㄊㄧˇㄌㄧㄤˊㄘㄜˋ","ㄅㄢㄉㄠㄊㄧㄌㄧㄤㄘㄜ"
"通訊實驗","ㄊㄨㄥㄒㄩㄣˋㄕˊㄧㄢˋ","ㄊㄨㄥㄒㄩㄣㄕㄧㄢ"
"半導體製程概論","ㄅㄢˋㄉㄠˇㄊㄧˇㄓˋㄔㄥˊㄍㄞˋㄌㄨㄣˋ","ㄅㄢㄉㄠㄊㄧㄓㄔㄥㄍㄞㄌㄨㄣ"
"電子材料概論","ㄉㄧㄢˋㄗˇㄘㄞˊㄌㄧㄠˋㄍㄞˋㄌㄨㄣˋ","ㄉㄧㄢㄗㄘㄞㄌㄧㄠㄍㄞㄌㄨㄣ"
"人工智慧","ㄖㄣˊㄍㄨㄥㄓˋㄏㄨㄟˋ","ㄖㄣㄍㄨㄥㄓㄏㄨㄟ"
"計算機組織","ㄐㄧˋㄙㄨㄢˋㄐㄧㄗㄨˇㄓ","ㄐㄧㄙㄨㄢㄐㄧㄗㄨㄓ"
"電腦視覺概論","ㄉㄧㄢˋㄋㄠˇㄕˋㄐㄩㄝˊㄍㄞˋㄌㄨㄣˋ","ㄉㄧㄢㄋㄠㄕㄐㄩㄝㄍㄞㄌㄨㄣ"
"微處理機通信","ㄨㄟㄔㄨˇㄌㄧˇㄐㄧㄊㄨㄥㄒㄧㄣˋ","ㄨㄟㄔㄨㄌㄧㄐㄧㄊㄨㄥㄒㄧㄣ"
"資料壓縮","ㄗㄌㄧㄠˋㄧㄚㄙㄨㄛ","ㄗㄌㄧㄠㄧㄚㄙㄨㄛ"
"數位影像處理","ㄕㄨˋㄨㄟˋㄧㄥˇㄒㄧㄤˋㄔㄨˇㄌㄧˇ","ㄕㄨㄨㄟㄧㄥㄒㄧㄤㄔㄨㄌㄧ"
